group,dataset,dataset_id,category,scenario,aether_incremental_ms,veridns_incremental_ms,veridns_full_update_ms,incremental_speedup,full_update_speedup
files-100-500,virginia.edu,files-100-500/virginia.edu,rewrite-heavy,A_ADD,0.878,0.92351,0.769049,1.0518337129840547,0.8759100227790433
files-100-500,virginia.edu,files-100-500/virginia.edu,rewrite-heavy,A_UPDATE,0.547,0.750494,0.935839,1.372018281535649,1.7108574040219378
files-100-500,virginia.edu,files-100-500/virginia.edu,rewrite-heavy,NS_UPDATE,0.765,0.627893,0.667416,0.8207751633986928,0.8724392156862745
files-100-500,virginia.edu,files-100-500/virginia.edu,rewrite-heavy,CNAME_UPDATE,1.3159999999999998,0.750944,0.929477,0.5706261398176292,0.7062895136778117
files-100-500,vivilotz.com,files-100-500/vivilotz.com,delegation-heavy,A_ADD,0.931,0.32412,0.181598,0.34814178302900106,0.19505692803437163
files-100-500,vivilotz.com,files-100-500/vivilotz.com,delegation-heavy,A_UPDATE,0.687,0.184967,0.16843,0.26923871906841335,0.24516739446870447
files-100-500,vivilotz.com,files-100-500/vivilotz.com,delegation-heavy,NS_UPDATE,1.0869999999999995,0.203213,0.212606,0.18694848206071765,0.1955896964121436
files-100-500,vn.ua,files-100-500/vn.ua,delegation-heavy,A_ADD,0.155,0.271604,0.218775,1.752283870967742,1.4114516129032257
files-100-500,vn.ua,files-100-500/vn.ua,delegation-heavy,A_UPDATE,0.009,0.39008,0.220294,43.342222222222226,24.47711111111111
files-100-500,vn.ua,files-100-500/vn.ua,delegation-heavy,NS_UPDATE,0.005,0.303539,0.26192,60.7078,52.38399999999999
files-100-500,vn.ua,files-100-500/vn.ua,delegation-heavy,CNAME_UPDATE,0.056,0.585681,0.751168,10.458589285714286,13.413714285714285
files-100-500,voxcdn.com,files-100-500/voxcdn.com,rewrite-heavy,NS_UPDATE,0.754,2.637924,2.74013,3.498572944297082,3.6341246684350135
files-100-500,vrn.ru,files-100-500/vrn.ru,delegation-heavy,A_ADD,1.151,0.264199,0.23071,0.2295386620330148,0.20044309296264118
files-100-500,vrn.ru,files-100-500/vrn.ru,delegation-heavy,A_UPDATE,0.766,0.207155,0.197826,0.2704373368146214,0.2582584856396867
files-100-500,vrn.ru,files-100-500/vrn.ru,delegation-heavy,NS_UPDATE,0.775,0.230035,0.216588,0.29681935483870964,0.2794683870967742
files-100-500,vrn.ru,files-100-500/vrn.ru,delegation-heavy,CNAME_UPDATE,0.852,1.193011,1.428067,1.4002476525821597,1.6761349765258216
files-100-500,w3wb.com,files-100-500/w3wb.com,common-case,A_ADD,1.301,0.226783,0.211603,0.17431437355880094,0.1626464258262875
files-100-500,w3wb.com,files-100-500/w3wb.com,common-case,A_UPDATE,0.369,0.205764,0.190767,0.5576260162601626,0.5169837398373983
files-100-500,w3wb.com,files-100-500/w3wb.com,common-case,NS_UPDATE,3.74,6.713065,6.643067,1.794937165775401,1.7762211229946523
files-100-500,w3wb.com,files-100-500/w3wb.com,common-case,CNAME_UPDATE,7.502,8.09918,31.304534,1.079602772593975,4.172825113303119
files-100-500,wa.gov,files-100-500/wa.gov,rewrite-heavy,A_ADD,0.559,0.759438,0.599482,1.358565295169946,1.0724186046511626
files-100-500,wa.gov,files-100-500/wa.gov,rewrite-heavy,A_UPDATE,0.718,0.697057,0.69441,0.9708314763231198,0.9671448467966574
files-100-500,wa.gov,files-100-500/wa.gov,rewrite-heavy,NS_UPDATE,0.914,0.743758,0.713047,0.8137396061269146,0.7801389496717723
files-100-500,wa.gov,files-100-500/wa.gov,rewrite-heavy,CNAME_UPDATE,0.473,0.740317,0.887996,1.5651522198731502,1.877369978858351
files-100-500,warriorhall.com,files-100-500/warriorhall.com,delegation-heavy,A_ADD,0.614,0.207595,0.244873,0.3381026058631922,0.3988159609120521
files-100-500,warriorhall.com,files-100-500/warriorhall.com,delegation-heavy,A_UPDATE,0.821,0.235695,0.171532,0.2870828258221681,0.2089305724725944
files-100-500,warriorhall.com,files-100-500/warriorhall.com,delegation-heavy,NS_UPDATE,0.455,0.20958,0.198749,0.4606153846153846,0.436810989010989
files-100-500,warszawa.pl,files-100-500/warszawa.pl,delegation-heavy,A_ADD,0.962,0.570119,0.691885,0.5926392931392932,0.7192151767151768
files-100-500,warszawa.pl,files-100-500/warszawa.pl,delegation-heavy,A_UPDATE,0.702,0.554672,0.654513,0.7901310541310542,0.932354700854701
files-100-500,warszawa.pl,files-100-500/warszawa.pl,delegation-heavy,NS_UPDATE,0.667,0.719885,0.52745,1.0792878560719639,0.7907796101949025
files-100-500,warszawa.pl,files-100-500/warszawa.pl,delegation-heavy,CNAME_UPDATE,0.757,0.661514,0.543031,0.8738626155878468,0.7173461030383091
files-100-500,washington.edu,files-100-500/washington.edu,rewrite-heavy,A_ADD,1.083,1.162006,1.271959,1.0729510618651894,1.174477377654663
files-100-500,washington.edu,files-100-500/washington.edu,rewrite-heavy,A_UPDATE,0.824,1.220121,1.215241,1.4807293689320389,1.4748070388349515
files-100-500,washington.edu,files-100-500/washington.edu,rewrite-heavy,NS_UPDATE,1.0719999999999998,1.316696,1.407129,1.228261194029851,1.3126203358208959
files-100-500,washington.edu,files-100-500/washington.edu,rewrite-heavy,CNAME_UPDATE,1.63,1.311975,1.81941,0.8048926380368098,1.1162024539877302
files-100-500,wayport.net,files-100-500/wayport.net,delegation-heavy,A_ADD,0.088,0.287204,0.271969,3.2636818181818184,3.0905568181818186
files-100-500,wayport.net,files-100-500/wayport.net,delegation-heavy,A_UPDATE,0.006,0.261628,0.247182,43.604666666666674,41.197
files-100-500,wayport.net,files-100-500/wayport.net,delegation-heavy,NS_UPDATE,0.007,0.233268,0.220847,33.324,31.549571428571426
files-100-500,wayport.net,files-100-500/wayport.net,delegation-heavy,CNAME_UPDATE,0.01,0.698728,0.685806,69.8728,68.5806
files-100-500,wblogin.com,files-100-500/wblogin.com,delegation-heavy,A_ADD,0.231,0.190913,0.175834,0.8264632034632035,0.7611861471861471
files-100-500,wblogin.com,files-100-500/wblogin.com,delegation-heavy,A_UPDATE,0.29,0.163672,0.222567,0.5643862068965518,0.7674724137931035
files-100-500,wblogin.com,files-100-500/wblogin.com,delegation-heavy,NS_UPDATE,0.245,0.227884,0.203146,0.9301387755102041,0.8291673469387755
